shortest_path	target_node
>KRAS>ELAVL1>CAND1>MMP2>LCN2	LCN2
>KRAS>HNRNPC>CAND1>MMP2>LCN2	LCN2
>KRAS>DDX50>CAND1>MMP2>LCN2	LCN2
>KRAS>DDX47>CAND1>MMP2>LCN2	LCN2
>KRAS>APP>A2M>MMP2>LCN2	LCN2
>KRAS>APP>USP12>MMP2>LCN2	LCN2
>KRAS>UBC>ITGB1>MMP2>LCN2	LCN2
>KRAS>ELAVL1>ITGB1>MMP2>LCN2	LCN2
>KRAS>UBC>ITGAV>MMP2>LCN2	LCN2
>KRAS>UBC>OSBPL10>MMP2>LCN2	LCN2
>KRAS>UBC>COL1A1>MMP2>LCN2	LCN2
>KRAS>ELAVL1>COL1A1>MMP2>LCN2	LCN2
>KRAS>UBC>THBS1>MMP2>LCN2	LCN2
>KRAS>ELAVL1>THBS1>MMP2>LCN2	LCN2
>KRAS>UBC>TGFB1>MMP2>LCN2	LCN2
>KRAS>ELAVL1>CCL7>MMP2>LCN2	LCN2
>KRAS>UBC>STMN3	STMN3
>KRAS>HNRNPC>RBM41	RBM41
>KRAS>UBC>MAPKAPK5	MAPKAPK5
>KRAS>RAF1>YWHAQ>SUV420H1	SUV420H1
>KRAS>EEF1A1>YWHAQ>SUV420H1	SUV420H1
>KRAS>UBC>YWHAQ>SUV420H1	SUV420H1
>KRAS>HDAC3>YWHAQ>SUV420H1	SUV420H1
>KRAS>CALM1>YWHAQ>SUV420H1	SUV420H1
>KRAS>HNRNPC>YWHAQ>SUV420H1	SUV420H1
>KRAS>UBC>HIST1H4A>SUV420H1	SUV420H1
>KRAS>HDAC1>HIST1H4A>SUV420H1	SUV420H1
>KRAS>HDAC3>HIST1H4A>SUV420H1	SUV420H1
>KRAS>MAPK1>HIST1H4A>SUV420H1	SUV420H1
>KRAS>UBC>SMARCD1>SUV420H1	SUV420H1
>KRAS>HDAC1>SMARCD1>SUV420H1	SUV420H1
>KRAS>HDAC3>SMARCD1>SUV420H1	SUV420H1
>KRAS>HNRNPC>SMARCD1>SUV420H1	SUV420H1
>KRAS>EEF1A1>SRRM1>CNGB1	CNGB1
>KRAS>UBC>SRRM1>CNGB1	CNGB1
>KRAS>ELAVL1>SRRM1>CNGB1	CNGB1
>KRAS>UBC>DLG4>CNGB1	CNGB1
>KRAS>MAPK1>DLG4>CNGB1	CNGB1
>KRAS>ELAVL1>DLG4>CNGB1	CNGB1
>KRAS>APP>TRIM69	TRIM69
>KRAS>ELAVL1>DOLPP1	DOLPP1
>KRAS>UBC>UBE2F	UBE2F
>KRAS>ELAVL1>UBE2F	UBE2F
>KRAS>APP>STIP1	STIP1
>KRAS>UBC>STIP1	STIP1
>KRAS>UBC>HDAC2>SSPN	SSPN
>KRAS>HDAC1>HDAC2>SSPN	SSPN
>KRAS>ELAVL1>HDAC2>SSPN	SSPN
>KRAS>SIRT1>HDAC2>SSPN	SSPN
>KRAS>UBC>SUPT6H>SSPN	SSPN
>KRAS>UBC>SLFN12	SLFN12
>KRAS>APP>MAPK8IP2	MAPK8IP2
>KRAS>UBC>MAPK8IP2	MAPK8IP2
>KRAS>UBC>FUCA2	FUCA2
>KRAS>UBC>TJP2	TJP2
>KRAS>UBC>SLC11A2	SLC11A2
>KRAS>UBC>SDR16C5>EXTL1	EXTL1
>KRAS>RAF1>YWHAB>UCP3	UCP3
>KRAS>APP>YWHAB>UCP3	UCP3
>KRAS>UBC>YWHAB>UCP3	UCP3
>KRAS>PHB>YWHAB>UCP3	UCP3
>KRAS>PIK3R2>YWHAB>UCP3	UCP3
>KRAS>ELAVL1>YWHAB>UCP3	UCP3
>KRAS>RAF1>YWHAZ>UCP3	UCP3
>KRAS>EEF1A1>YWHAZ>UCP3	UCP3
>KRAS>APP>YWHAZ>UCP3	UCP3
>KRAS>UBC>YWHAZ>UCP3	UCP3
>KRAS>PHB>YWHAZ>UCP3	UCP3
>KRAS>CALM1>YWHAZ>UCP3	UCP3
